Name,Postcode,Latitude,Longitude
Ryedale Organics Limited,YO42 4ST,53.87653,-0.84231
The Greener Gardening Company (Kirkby) Limited,L33 3AN,53.47081,-2.84919
Resource Recycling Solutions Ltd,PR3 6BP,53.89561,-2.89686
Hollybush Recycling Limited,WV10 7LX,52.6573059,-2.0518766
Birch Airfield Composting Services Ltd,CO5 9UH,51.82194,0.78304
Envar Composting Limited,PE28 3BS,52.3595392,-0.042302
Coastal Recycling Services Limited,EX38 7JA,50.9678526,-4.0951737
Hill,SP6 3NT,50.96915,-1.84691
Veolia ES Hampshire Limited,RG25 2NS,51.21613,-1.06043
Hope Farm Limited,CT18 7EG,51.09997,1.17932
Yorwaste Limited,YO23 3RR,53.96408,-1.18251
Hills Waste Solutions Limited,SN5 4HG,51.5972363,-1.8742836
The Beddingham Compost Company Ltd,BN8 6JX,50.84329,0.05237
Lodgewood Recycling Limited,TF2 9PD,52.69893,-2.42495
Greenworld Sales Limited,PE30 2HY,52.7678548,0.4021446
K P S Composting Services Ltd,TN22 5JJ,50.9270507,0.0602088
Vital Earth GB Ltd,DE6 1HA,53.00618755,-1.7168136
Highfield Environmental Limited,TS23 4HS,54.61593,-1.25691
AmeyCespa (East) Limited,CB25 9PG,52.29168845,0.1756995
Severn Trent Green Power Group Limited,OX7 5TH,51.96011,-1.48286
M F BENNION (POTATOES) Ltd,GL18 2EF,51.99773,-2.46536
Severn Trent Green Power Group Limited,OX10 6XL,,
Mick George Limited,NN14 1RS,,
SED Services Ltd,L38 5DA,53.52633,-3.03248
FCC Recycling (UK) Ltd,OX14 4PW,51.63487,-1.25481
Anti-Waste Ltd,IP28 8LG,52.30338,0.4803
Viridor Waste (Somerset) Limited,BA7 7NR,51.08534185,-2.54505925
Inztec Composting Limited,YO43 4EB,53.83657,-0.73167
 Biogas & Recycling Facility EPR/AP3193SV,SY5 9NQ,52.70559,-2.90184
S.E.D. Services Limited,WN4 0EJ,53.5073,-2.6484
WGR Limited,CW5 7PN,53.01062,-2.46042
Greencomp Limited,NR18 9RL,52.5592163,1.156757
Ainsworth; Ainsworth,ST21 6JU,52.8566999,-2.20694
A Broster Limited,WA3 4BD,53.46496,-2.54047
Norse Environmental Waste Services Limited,NR10 5QQ,52.7582696,1.2311521
Tamar Recycling (Suffolk) Limited,SG19 2JW,52.1458932,-0.24551645
TJ Composting Services Limited,CM16 6RZ,51.72269825,0.188703
SUEZ Recycling and Recovery UK Ltd,CV7 7HN,52.4614199,-1.68636
Material Change Limited,PE6 0LX,52.69838,-0.13283
TJ Composting Services Limited,BR8 7QP,51.4035273,0.14897845
SUEZ Recycling and Recovery UK Ltd,BL5 1DG,53.539242,-2.446476
Langmead Farms Limited,PO20 1NW,50.82141,-0.74213
H S F Recycling Ltd,ST7 3SU,53.13008,-2.2756599
SUEZ Recycling and Recovery UK Ltd,M17 1SS,53.47682193333333,-2.3380965
Ryman; Ryman,WS14 0AH,52.65618,-1.85178
A.W. Jenkinson Woodwaste Limited,CA6 4BJ,54.9610217,-2.9964991
The Greener Gardening Company (Kirkby) Limited,L38 1QA,53.527214475,-3.031408125
Troughton; Hodgetts,WR8 9ES,52.0957999,-2.14823
Berkswell Recycling Limited,CV7 7LH,52.42737,-1.66472
Veolia ES Landfill Ltd,WV9 5AX,52.6562266,-2.1355677
Biffa Waste Services Limited,CV33 9PP,52.24939,-1.42976
Biffa Waste Services Ltd,DE65 6GX,52.86368,-1.58539
Allium Helmsley Ltd,YO61 1TU,54.0901747,-1.2016869
Veolia ES Landfill Ltd,TF2 9PA,52.69507,-2.40237
Tamar Composting (East Anglia) Limited,IP13 9AF,52.19826,1.40743
SUEZ Recycling and Recovery UK Ltd,LE65 2SD,52.75401,-1.4809699
Heyes; Heyes; Heyes,WA11 7JE,53.48498,-2.80845
New Earth Solutions (Kent) Limited,ME19 4PN,51.28024,0.38564
T M A Bark Supplies Ltd,NR9 5LG,52.6952806,1.0925483
Thompson,TS28 5NX,54.6731951,-1.363222
Riverside Bio Limited ,CR4 4NA,51.39312,-0.16446
Biffa Waste Services Limited,LS15 9AD,53.77071,-1.4460599
A & E Thompson,TS28 5NU,54.67941,-1.35869
A & M Smith Skip Hire Ltd.,AB12 4RX,57.086408725,-2.1245008
A Broster Ltd,WA3 4BD,53.46496,-2.54047
A W Jenkinson Woodwaste Limited,CA6 4BJ,54.9610217,-2.9964991
A Willey T/A Greentech Recycling,NE17 7AS,54.92692,-1.81049
A.W.O Recycling Ltd,PE26 2RU,52.44768,-0.14251
Severn Trent Green Power Group Limited,OX10 6SL,51.61427,-1.11245
Severn Trent Green Power Group Limited,OX7 5TH,51.96011,-1.48286
Amey,CB25 9PG,52.29168845,0.1756995
Andrew Cook,KY1 4DN,56.16268,-3.20025
Angus Council,DD8 2SZ,56.65321237999999,-2.8465806
BG Appleton,CM9 8LS,51.78477,0.73203
Birch Airfield Composting Services Ltd,CO5 9XE,51.83701,0.78822
Brier Hills Recycling Limited,DN7 6HA,53.57893,-0.92984
Bryn Compost Limited,CF82 8FY,51.66452,-3.26933
Clarkeson Recycling Ltd,DN37 8NQ,53.5603319,-0.2115807
Causeway Coast and Glens Borough Council,BT51 4PP,,
Enovert South Ltd,GL52 4RF,,
Crapper and Sons Landfill Ltd,SN4 8DW,51.55474,-1.92759
CRJ Services , Sandbatch,,
D & A Scrivens and Sons,PR4 2RE,53.78434,-2.9041199
DJ & SJ Recycling,NE46 6HF,,
Down End Compost & Recycling,DT11 8SY,50.88449,-2.17987
Down to Earth Recycling Ltd,DN21 4JH,53.5009299,-0.56638
Dundee City Council (Environment Department),DD1 1QE,56.46023,-2.97555
Eco Sustainable Solutions,BH23 6BG,50.7906199,-1.85937
AB Waste Management t/a Bloomfield Composting,WS12 4PB,52.71334,-2.04845
FCC Environment (UK) Ltd,CH2 4JP,53.2428743,-2.8222837
Woodhorn Group,PO11 0QW,50.8003144,-0.9774336
Flintshire County Council Waste Management Services,CH8 7HJ,53.28813,-3.20284
Forth Resource Management - Pavilion,TD6 9BN,55.60982,-2.75156
Forth Resource Management Limited - Braehead,EH12 0AA,55.94862,-3.32396
Forth Resource Management Ltd - Drylaw Hill Farm,EH40 3AZ,55.9932,-2.66437
Freeland Horticulture Ltd,DN9 3DU,53.5016,-0.95954
George Whittaker & Sons (Knutsford) Limited,WA6 0HA,53.26558,-2.8010799
Green Estate Ltd,S2 1UP,53.37916,-1.43436
Greenaway Green Waste Services,LN13 0LW,53.3130499,0.17954
Greencomp Ltd,NR18 9RL,52.5592163,1.156757
Greener Composting,WS14 0GP,52.65658,-1.8358
Greenleaf Recycling Ltd (W L Straughan & Son Ltd),NE22 6AA,55.1205235,-1.6043807
Greenworld Sales Ltd,PE30 2HY,52.7678548,0.4021446
